fact_id,module,entity,source,metric,contract_count,totaal,years_with_data,query_ref,verified_at
PUB-SRC-103,publiek,Gemeente Hengelo,COA,per_source_count,24,12015023,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-104,publiek,Gemeente Groningen,COA,per_source_count,24,13600024,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-105,publiek,Brood- en Banketbakkerij BOS,COA,per_source_count,24,120024,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-106,publiek,Hema B.V.,COA,per_source_count,24,120024,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-107,publiek,Keiretsu Europe B.V.,COA,per_source_count,24,415024,1,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-108,publiek,Walibi Holland BV,COA,per_source_count,24,5690024,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-109,publiek,H&S Oisterwijk BV,COA,per_source_count,24,120024,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-110,publiek,Adapteo B.V,COA,per_source_count,23,11550023,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-111,publiek,IT - Staffing Nederland B.V.,COA,per_source_count,23,66185023,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-112,publiek,OHIO B.V.,COA,per_source_count,23,955023,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-113,publiek,Gemeente Maastricht,COA,per_source_count,23,3525022,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-114,publiek,Renewi Nederland B.V.,COA,per_source_count,23,21125022,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-115,publiek,Houwer Bergum BV,COA,per_source_count,23,115023,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-116,publiek,Dirksen,COA,per_source_count,23,750023,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-117,publiek,Insurance Managers B.V.,COA,per_source_count,23,3515023,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-118,publiek,Breur,COA,per_source_count,22,2015022,4,Q-PUB-02,2026-03-02T19:28:34Z
