fact_id,module,entity,metric,value,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,years_with_data,row_count,query_ref,verified_at
INSTR-TOP-087,instrumenten,Gemeente Leeuwarden,total_received,2123437000,4010000,4934000,0,5060000,5730000,482413000,477057000,584971000,559262000,8,164,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-088,instrumenten,Gemeente Haarlem,total_received,2042913000,0,0,0,10000,9131000,468712000,467281000,548644000,549135000,6,86,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-089,instrumenten,Gemeente Zaanstad,total_received,2041580000,7587000,11799000,0,11990000,14879000,477902000,461488000,547089000,508846000,8,171,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-090,instrumenten,Stichting Avans,total_received,2028629000,500000,174522000,204890000,214051000,227300000,284947000,312972000,303642000,305805000,9,50,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-091,instrumenten,Technische Universiteit Eindhoven,total_received,2015021000,2437000,198419000,221455000,244275000,4941000,294419000,329325000,349167000,370583000,9,194,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-092,instrumenten,Eindhoven,total_received,1988744000,0,423169000,484077000,536751000,544747000,0,0,0,0,4,15,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-093,instrumenten,Stichting Hogeschool Rotterdam,total_received,1980639000,1548000,197905000,238163000,254011000,261639000,323791000,356776000,126000,346680000,9,46,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-094,instrumenten,Gemeente Zwolle,total_received,1975105000,4257000,4182000,0,5050000,9053000,473987000,449795000,509557000,519224000,8,185,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-095,instrumenten,Onderzoeksdeel wo,total_received,1962582000,0,0,1962582000,0,0,0,0,0,0,1,1,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-096,instrumenten,Provincie Noord-Brabant,total_received,1937652000,75000,15000,916000,2731000,39394000,349352000,366067000,463231000,715871000,9,91,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-097,instrumenten,Nederlandse organisatie voor wetenschappelijk onderzoek (NWO),total_received,1935895000,56044000,794998000,275000,0,0,1023797000,5000,60751000,25000,7,133,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-098,instrumenten,Gemeente 's-hertogenbosch,total_received,1934865000,8159000,7824000,0,7981000,8757000,379888000,455529000,574729000,491998000,8,132,Q-INSTR-01,2026-03-02T19:28:34Z
