fact_id,ontvanger,jaar,bedrag,descriptor,type
INSTR-342,Gemeente Heerlen,2022,225683000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-343,Gemeente Venlo,2023,224000000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-344,Stichting Saxion,2024,223921000,Onderwijsdeel hbo,Bekostiging
INSTR-345,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor Overige uitgaven (R),2022,223375000,Overige uitgaven (R),Inkomensoverdrachten
INSTR-346,NVWA,2022,223006000,Bijdrage aan NVWA (DGA),Bijdragen Baten-Lastendiensten
INSTR-347,Stichting Saxion,2023,221888000,Onderwijsdeel hbo,Bekostiging
INSTR-348,Stichting Lucas Onderwijs,2023,221787000,Bekostiging voortgezet onderwijs lumpsum,Bekostiging
INSTR-349,Greenchoice,2022,221472000,Tijdelijke overbruggingsregeling compensatie energieprijzen kleinverbruikers 2022,Subsidies
INSTR-350,Gemeente Sittard-Geleen,2024,221371000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-351,Gemeente Deventer,2023,220587000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-352,Gemeente Ede,2023,220453000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-353,Stichting Katholieke Universiteit Brabant,2024,220152000,Onderwijsdeel wo,Bekostiging
INSTR-354,Eneco Consumenten,2022,220138000,Subsidie prijsplafond energieleveranciers,Subsidies
INSTR-355,Invest International BV,2024,219837000,Kapitaalinjectie Invest International,Vermogensverschaffing/-onttrekking
INSTR-356,Gemeente Alphen aan den Rijn,2024,218759000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-357,Rijksinstituut voor Volksgezondheid en Milieu (RIVM),2023,218232000,RIVM: Opdrachtverlening aan kenniscentra,Bijdrage aan agentschappen
INSTR-358,Toeslagen,2024,217969000,Toegerekende uitgaven van Belastingen,Bijdrage aan (andere) begrotingshoofdstukken
INSTR-359,Gemeente Alkmaar,2022,217356000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-360,TNO KWALITEIT VAN LEVEN,2022,216876000,BIJDRAGE AAN TNO,Bijdragen aan ZBO / RWT
INSTR-361,Stichting BOOR,2024,216665000,Bekostiging Primair Onderwijs,Bekostiging
INSTR-362,Gemeente Helmond,2024,216109000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-363,Douane,2024,215786000,Toegerekende uitgaven van Belastingen,Bijdrage aan (andere) begrotingshoofdstukken
INSTR-364,Stichting Christel. Hogesch. Windesheim,2022,214550000,Onderwijsdeel hbo,Bekostiging
INSTR-365,Geanonimiseerde ontvanger(s) van Subsidies voor ISDE kleine apparaten,2022,213690000,ISDE kleine apparaten,Subsidies
INSTR-366,Provincie Flevoland,2023,213314000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-367,Stichting Katholieke Universiteit Brabant,2023,212478000,Onderwijsdeel wo,Bekostiging
INSTR-368,Provincie Fryslân,2023,212368000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-369,TenneT TSO B.V.,2022,211975000,Net op Zee Tennet (SE),Subsidies
INSTR-370,Ver. Chr. Voortgezet Onderwijs te Rotterdam en omgeving,2023,211039000,Bekostiging voortgezet onderwijs lumpsum,Bekostiging
INSTR-371,Provincie Limburg,2023,209046000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-372,Stichting Limburgs Voortgezet Onder,2022,208110000,Bekostiging voortgezet onderwijs lumpsum,Bekostiging
INSTR-373,Gemeente Delft,2022,208074000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-374,Politie,2022,207593000,Beheer meldkamers,Bijdragen aan ZBOs/RWTs
INSTR-375,Gemeente Venlo,2022,207479000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-376,Gemeente Sittard-Geleen,2023,206401000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-377,Gemeente Deventer,2022,205630000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-378,Gemeente Alphen aan den Rijn,2023,205586000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-379,Gemeente Súdwest-Fryslân,2024,205193000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-380,Stichting Christelijke Hogeschool Windesheim,2023,204858000,Onderwijsdeel hbo,Bekostiging
INSTR-381,Stichting Christel. Hogesch. Windesheim,2024,204622000,Onderwijsdeel hbo,Bekostiging
INSTR-382,Stichting Hoger Beroepsonderwijs Haden,2022,203844000,Onderwijsdeel hbo,Bekostiging
INSTR-383,Dienst Justitiële Inrichtingen,2023,203581000,Bijdrage Agentschappen: DJI - jeugd,Bijdrage aan agentschappen
INSTR-384,Stichting BOOR,2023,203504000,Bekostiging Primair Onderwijs,Bekostiging
INSTR-385,Provincie Drenthe,2024,203179000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-386,Politie,2023,203166000,Bijdrage ZBO's/RWT's: Beheer meldkamers,Bijdrage aan ZBOs en RWTs
INSTR-387,Gemeente Oss,2024,202610000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-388,Uitvoeringsinstituut werknemersverzekeringen,2024,202575000,Rijksbijdrage tegemoetkoming arbeidsongeschikten,Bijdrage aan ZBOs en RWTs
INSTR-389,Gemeente Ede,2022,202434000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-390,Gemeente Lelystad,2024,202391000,Algemene uitkering,Bijdrage aan medeoverheden
